word,sentence,jlpt_level,original_index,optimal_index,number_of_unknown_tokens,unknown_tokens_in_sentence,tokenized_sentence_surface,reading,meaning
閉鎖,この道路は工事のため**閉鎖**されています。,N1,7288,2885,3,"ため, 閉鎖, ます","この, 道路, は, 工事, の, ため, *, *, 閉鎖, *, *, さ, れ, て, い, ます, 。",へいさ,"closing, closure, shutdown"
補充,インクが切れたので、補充しておきます。,N1,7369,2886,3,"補充, おき, ます","インク, が, 切れ, た, の, で, 、, 補充, し, て, おき, ます, 。",ほじゅう,"supplementation, replenishment, replenishing"
ボルト,棚を固定するためにボルトを締めた。,N1,7387,2887,3,"ため, ボルト, 締め","棚, を, 固定, する, ため, に, ボルト, を, 締め, た, 。",ボルト,volt; bolt
～味,これはレモン味のキャンディです。,N1,7453,2888,3,"レモン, キャンディ, です","これ, は, レモン, 味, の, キャンディ, です, 。",～み,~ cast (sense of taste)
結び,この紐の結び目が固くてほどけない。,N1,7509,2889,3,"結び目, 固く, ほどけ","この, 紐, の, 結び目, が, 固く, て, ほどけ, ない, 。",むすび,"ending, conclusion, union"
命中,彼の放った矢は、見事に的を命中した。,N1,7529,2890,3,"放っ, 的, 命中","彼, の, 放っ, た, 矢, は, 、, 見事, に, 的, を, 命中, し, た, 。",めいちゅう,a hit
メーカー,この車は、どのメーカーのものですか？,N1,7535,2891,3,"メーカー, もの, です","この, 車, は, 、, どの, メーカー, の, もの, です, か, ？",メーカー,manufacturer
もてる,彼は優しくて面白いから、女性にもてる。,N1,7574,2892,3,"優しく, から, もてる","彼, は, 優しく, て, 面白い, から, 、, 女性, に, もてる, 。",もてる,"to be well liked, to be popular"
ユニーク,このカフェは、内装がとてもユニークだね。,N1,7635,2893,3,"カフェ, 内装, ユニーク","この, カフェ, は, 、, 内装, が, とても, ユニーク, だ, ね, 。",ユニーク,unique
ライス,今日の晩ご飯は、カレーライスにしようかな。,N1,7685,2894,3,"晩ご飯, ライス, しよう","今日, の, 晩ご飯, は, 、, カレー, ライス, に, しよう, か, な, 。",ライス,rice
普通,今日の夕食は普通にカレーライスでいい？,N4,1197,2895,3,"夕食, 普通, いい","今日, の, 夕食, は, 普通, に, カレー, ライス, で, いい, ？",ふつう,common; usual
酪農,北海道は酪農が盛んな地域です。,N1,7686,2896,3,"北海道, 酪農, です","北海道, は, 酪農, が, 盛ん, な, 地域, です, 。",らくのう,dairy farming
良好,今日の体調は**良好**です。,N1,7708,2897,3,"体調, 良好, です","今日, の, 体調, は, *, *, 良好, *, *, です, 。",りょうこう,"favorable, satisfactory"
類,この花はバラの類です。,N1,7721,2898,3,"バラ, 類, です","この, 花, は, バラ, の, 類, です, 。",るい,"kind, class, family"
類似,この二つの絵は構図が**類似**している。,N1,7723,2899,3,"構図, 類似, いる","この, 二, つ, の, 絵, は, 構図, が, *, *, 類似, *, *, し, て, いる, 。",るいじ,analogous
ばてる,一日中歩き回って、もうばてちゃった。,N1,7740,2900,3,"歩き回っ, ばて, ちゃっ","一, 日, 中, 歩き回っ, て, 、, もう, ばて, ちゃっ, た, 。",ばてる,"to be exhausted, to be worn out"
版画,この絵は版画で作られている。,N1,7760,2901,3,"版画, 作ら, いる","この, 絵, は, 版画, で, 作ら, れ, て, いる, 。",はんが,art print
ハンガー,洗濯が終わったシャツをハンガーにかけた。,N1,7761,2902,3,"終わっ, ハンガー, かけ","洗濯, が, 終わっ, た, シャツ, を, ハンガー, に, かけ, た, 。",ハンガー,(coat) hanger
繁殖,この池ではメダカが自然に繁殖している。,N1,7769,2903,3,"メダカ, 繁殖, いる","この, 池, で, は, メダカ, が, 自然, に, 繁殖, し, て, いる, 。",はんしょく,"breed, multiply, propagation"
比率,男女の比率はほぼ半々だ。,N1,7835,2904,3,"男女, 比率, 半々","男女, の, 比率, は, ほぼ, 半々, だ, 。",ひりつ,"ratio, proportion, percentage"
薄い,この本は紙が**薄い**ので、破れないように注意してね。,N5,77,2905,4,"薄い, 破れ, よう, 注意","この, 本, は, 紙, が, *, *, 薄い, *, *, の, で, 、, 破れ, ない, よう, に, 注意, し, て, ね, 。",うすい,"thin, weak"
エレベーター,この建物にはエレベーターがありますか？,N5,92,2906,4,"建物, エレベーター, あり, ます","この, 建物, に, は, エレベーター, が, あり, ます, か, ？",エレベーター,elevator
順番,エレベーターは順番に乗りましょう。,N3,1496,2907,3,"順番, 乗り, ましょう","エレベーター, は, 順番, に, 乗り, ましょう, 。",じゅんばん,"turn (in line), order of things"
返す,図書館に本を返しに行った。,N5,149,2908,4,"図書, 館, 返し, 行っ","図書, 館, に, 本, を, 返し, に, 行っ, た, 。",かえす,to return something
片仮名,この書類、固有名詞は**カタカナ**で書いてください。,N5,165,2909,4,"固有, カタカナ, 書い, ください","この, 書類, 、, 固有, 名詞, は, *, *, カタカナ, *, *, で, 書い, て, ください, 。",かたかな,katakana
軽い,この箱は見た目より軽い。,N5,181,2910,4,"見, 目, より, 軽い","この, 箱, は, 見, た, 目, より, 軽い, 。",かるい,"light, non-serious, minor"
コピーする,このファイルをUSBにコピーしてください。,N5,264,2911,4,"ファイル, USB, コピー, ください","この, ファイル, を, USB, に, コピー, し, て, ください, 。",コピーする,to copy
～ころ; ～ごろ,**夕飯は6時ごろにしよう。**,N5,267,2912,4,"6, 時, ごろ, しよう","*, *, 夕飯, は, 6, 時, ごろ, に, しよう, 。, *, *",～ころ; ～ごろ,"about, toward, approximately (time)"
静か,図書館の中はとても静かだった。,N5,296,2913,4,"図書, 館, 静か, だっ","図書, 館, の, 中, は, とても, 静か, だっ, た, 。",しずか,"quiet, calm"
形容動詞,この部屋はとても**静かだ**。,N2,4030,2914,0,,"この, 部屋, は, とても, *, *, 静か, だ, *, *, 。",けいようどうし,"adjectival noun, quasi-adjective"
いやに,今日は**いやに**静かだね。,N1,5752,2915,1,いや,"今日, は, *, *, いや, に, *, *, 静か, だ, ね, 。",いやに,"awfully, terribly"
奥,家の奥に静かな部屋がある。,N3,1864,2916,2,"奥, ある","家, の, 奥, に, 静か, な, 部屋, が, ある, 。",おく,"interior, inner part"
引っ込む,人が来たので、奥に引っ込んだ。,N2,4698,2917,1,引っ込ん,"人, が, 来, た, の, で, 、, 奥, に, 引っ込ん, だ, 。",ひっこむ,"to draw back, to sink, to cave in"
語る,彼女は過去の苦労を静かに語った。,N3,1980,2918,2,"苦労, 語っ","彼女, は, 過去, の, 苦労, を, 静か, に, 語っ, た, 。",かたる,"to talk, to tell, to recite"
唯,彼女は唯、静かに微笑んだ。,N3,2743,2919,2,"唯, 微笑ん","彼女, は, 唯, 、, 静か, に, 微笑ん, だ, 。",ただ,"mere, sole, plain"
～機,この洗濯機は静かでパワフルだ。,N2,3933,2920,2,"機, パワフル","この, 洗濯, 機, は, 静か, で, パワフル, だ, 。",～き,machine
夜更け,夜更けに、猫が静かに鳴いた。,N1,7678,2921,2,"夜更け, 鳴い","夜更け, に, 、, 猫, が, 静か, に, 鳴い, た, 。",よふけ,late at night
晩年,彼は晩年を故郷で静かに過ごした。,N1,7773,2922,2,"晩年, 過ごし","彼, は, 晩年, を, 故郷, で, 静か, に, 過ごし, た, 。",ばんねん,(one's) last years
辺り,この辺りは静かで住みやすい。,N3,1694,2923,3,"辺り, 住み, やすい","この, 辺り, は, 静か, で, 住み, やすい, 。",あたり,"vicinity, nearby"
電波,この辺りは少し電波が悪い。,N2,4484,2924,1,電波,"この, 辺り, は, 少し, 電波, が, 悪い, 。",でんぱ,electro-magnetic wave
独り,今日は**独り**で静かに過ごしたい。,N3,3157,2925,3,"独り, 過ごし, たい","今日, は, *, *, 独り, *, *, で, 静か, に, 過ごし, たい, 。",ひとり,"alone, unmarried"
オルガン,教会のオルガンの音が、静かに響き渡った。,N2,3795,2926,3,"オルガン, 響き, 渡っ","教会, の, オルガン, の, 音, が, 、, 静か, に, 響き, 渡っ, た, 。",オルガン,organ
碁盤,彼は**碁盤**に向かい、静かに石を並べ始めた。,N1,5300,2927,3,"碁盤, 並べ, 始め","彼, は, *, *, 碁盤, *, *, に, 向かい, 、, 静か, に, 石, を, 並べ, 始め, た, 。",ごばん,Go board
漁村,旅行で訪れた漁村は、静かで美しい場所だった。,N1,6207,2928,3,"訪れ, 漁村, だっ","旅行, で, 訪れ, た, 漁村, は, 、, 静か, で, 美しい, 場所, だっ, た, 。",ぎょそん,fishing village
少ない,現金が少ないので、今日は外食はやめておこう。,N5,331,2929,4,"少ない, 外食, やめ, おこう","現金, が, 少ない, の, で, 、, 今日, は, 外食, は, やめ, て, おこう, 。",すくない,a little; a few
補う,給料が少ないので、アルバイトで補う。,N2,3754,2930,1,補う,"給料, が, 少ない, の, で, 、, アルバイト, で, 補う, 。",おぎなう,to compensate for
人通り,この時間帯は人通りが少ないね。,N2,4704,2931,1,人通り,"この, 時間, 帯, は, 人通り, が, 少ない, ね, 。",ひとどおり,pedestrian traffic
乗り物,この辺りは、公共の乗り物が少ないから不便だ。,N4,995,2932,2,"乗り物, から","この, 辺り, は, 、, 公共, の, 乗り物, が, 少ない, から, 不便, だ, 。",のりもの,vehicle
階層,この会社は階層が少ないため、風通しが良い。,N1,5941,2933,3,"階層, ため, 風通し","この, 会社, は, 階層, が, 少ない, ため, 、, 風通し, が, 良い, 。",かいそう,"class, level, stratum, hierarchy"
セーター,今日は寒いから、セーターを着ていこう。,N5,345,2934,4,"から, セーター, 着, いこう","今日, は, 寒い, から, 、, セーター, を, 着, て, いこう, 。",セーター,sweater
編む,セーターを編む。,N2,4373,2935,1,編む,"セーター, を, 編む, 。",あむ,to knit
粗い,このセーターは、生地が**粗い**。,N2,4377,2936,1,粗い,"この, セーター, は, 、, 生地, が, *, *, 粗い, *, *, 。",あらい,"coarse, rough"
粗,このセーターは編み目が**粗**い。,N3,1706,2937,2,"編み目, 粗","この, セーター, は, 編み目, が, *, *, 粗, *, *, い, 。",あら,"defect, flaw, fault"
縮める,セーターが洗濯で縮んでしまった。,N2,5063,2938,2,"縮ん, しまっ","セーター, が, 洗濯, で, 縮ん, で, しまっ, た, 。",ちぢめる,"to shorten, to reduce, to shrink"
ウール,このセーターはウールでできているので、とても暖かい。,N2,4427,2939,3,"ウール, でき, いる","この, セーター, は, ウール, で, でき, て, いる, の, で, 、, とても, 暖かい, 。",ウール,wool
縮む,セーターを洗濯したら縮んでしまった。,N2,5062,2940,3,"たら, 縮ん, しまっ","セーター, を, 洗濯, し, たら, 縮ん, で, しまっ, た, 。",ちぢむ,"to shrink, to be contracted"
繕う,ほつれたセーターの袖口を繕った。,N1,6939,2941,3,"ほつれ, 袖口, 繕っ","ほつれ, た, セーター, の, 袖口, を, 繕っ, た, 。",つくろう,"to mend, to repair"
その,その本、面白そうですね。,N5,363,2942,4,"その, 面白, そう, です","その, 本, 、, 面白, そう, です, ね, 。",その,that
感動,その映画には本当に感動した。,N3,2042,2943,1,感動,"その, 映画, に, は, 本当, に, 感動, し, た, 。",かんどう,"being deeply moved, excitement"
～器,その花瓶は美しい花器だ。,N2,3932,2944,1,花器,"その, 花瓶, は, 美しい, 花器, だ, 。",～き,"device, equipment"
怪しい,その男の行動はどこか怪しい。,N2,4375,2945,1,怪しい,"その, 男, の, 行動, は, どこ, か, 怪しい, 。",あやしい,"suspicious, dubious, doubtful"
ぼろ,そのシャツはもうぼろぼろだ。,N2,4850,2946,1,ぼろぼろ,"その, シャツ, は, もう, ぼろぼろ, だ, 。",ぼろ,"rag, tattered clothes"
使用人,その家には多くの使用人がいた。,N1,6500,2947,1,多く,"その, 家, に, は, 多く, の, 使用, 人, が, い, た, 。",しようにん,"employee, servant"
記す,日記にその日の出来事を記す。,N1,6532,2948,1,記す,"日記, に, その, 日, の, 出来事, を, 記す, 。",しるす,"to note, to write down"
不服,その結果には不服だ。,N1,7248,2949,1,不服,"その, 結果, に, は, 不服, だ, 。",ふふく,"dissatisfaction, discontent, disapproval"
揺さぶる,そのニュースは彼の心を揺さぶった。,N1,7633,2950,1,揺さぶっ,"その, ニュース, は, 彼, の, 心, を, 揺さぶっ, た, 。",ゆさぶる,"to shake, to jolt, to rock, to swing"
おかしい,その映画、ストーリーがちょっとおかしいよね。,N4,931,2951,2,"ストーリー, おかしい","その, 映画, 、, ストーリー, が, ちょっと, おかしい, よ, ね, 。",おかしい,strange; odd; funny
反対,その意見には反対です。,N4,1010,2952,2,"反対, です","その, 意見, に, は, 反対, です, 。",はんたい,"oppose, opposition, resistance"
押し切る,彼は反対意見を押し切って、計画を実行した。,N1,5866,2953,1,押し切っ,"彼, は, 反対, 意見, を, 押し切っ, て, 、, 計画, を, 実行, し, た, 。",おしきる,to have one's own way
実力,彼は実力でその地位を勝ち取った。,N3,1435,2954,2,"実力, 勝ち取っ","彼, は, 実力, で, その, 地位, を, 勝ち取っ, た, 。",じつりょく,ability; force
及ぼす,そのニュースは、株価に大きな影響を及ぼした。,N3,1899,2955,2,"株価, 及ぼし","その, ニュース, は, 、, 株価, に, 大きな, 影響, を, 及ぼし, た, 。",およぼす,"to exert, to cause, to exercise"
老人,その老人は、公園のベンチで静かに本を読んでいた。,N3,2527,2956,2,"老人, 読ん","その, 老人, は, 、, 公園, の, ベンチ, で, 静か, に, 本, を, 読ん, で, い, た, 。",ろうじん,"the aged, old person"
内乱,その国は長年の内乱で荒廃した。,N1,5581,2957,2,"長年, 内乱","その, 国, は, 長年, の, 内乱, で, 荒廃, し, た, 。",ないらん,"civil war, domestic conflict"
汽船,その汽船は、ゆっくりと港を出発した。,N1,6125,2958,2,"汽船, ゆっくり","その, 汽船, は, 、, ゆっくり, と, 港, を, 出発, し, た, 。",きせん,steamship
滅ぼす,その国は戦争によって滅ぼされた。,N1,7389,2959,2,"よっ, 滅ぼさ","その, 国, は, 戦争, に, よっ, て, 滅ぼさ, れ, た, 。",ほろぼす,"to destroy, to overthrow, to ruin"
店,その店はいつもお客さんでいっぱいだ。,N5,631,2960,3,"店, 客, さん","その, 店, は, いつ, も, お, 客, さん, で, いっぱい, だ, 。",みせ,"store, shop"
客,あそこの店はいつも客でいっぱいだ。,N4,901,2961,1,客,"あそこ, の, 店, は, いつ, も, 客, で, いっぱい, だ, 。",きゃく,"guest, customer"
出入り,この店は人の出入りが激しい。,N2,5146,2962,1,出入り,"この, 店, は, 人, の, 出入り, が, 激しい, 。",でいり,"in and out, coming and going"
品物,この店は品物が豊富だ。,N4,853,2963,2,"品物, 豊富","この, 店, は, 品物, が, 豊富, だ, 。",しなもの,goods
食品,この店は新鮮な食品が豊富だ。,N3,1534,2964,2,"食品, 豊富","この, 店, は, 新鮮, な, 食品, が, 豊富, だ, 。",しょくひん,foodstuff
豊富,この店は品揃えが豊富だ。,N3,3253,2965,2,"品揃え, 豊富","この, 店, は, 品揃え, が, 豊富, だ, 。",ほうふ,"abundance, plenty"
カラー,この服はカラーバリエーションが豊富だ。,N2,3897,2966,2,"カラー, バリエーション","この, 服, は, カラー, バリエーション, が, 豊富, だ, 。",カラー,"collar, color"
農産物,この地域は、新鮮な農産物が豊富です。,N2,4601,2967,2,"農産, です","この, 地域, は, 、, 新鮮, な, 農産, 物, が, 豊富, です, 。",のうさんぶつ,agricultural produce
コーナー,その店は駅の**コーナー**にある。,N1,5253,2968,2,"コーナー, ある","その, 店, は, 駅, の, *, *, コーナー, *, *, に, ある, 。",コーナー,corner
～営,この店は家族で**営**んでいます。,N1,5814,2969,2,"営, ます","この, 店, は, 家族, で, *, *, 営, *, *, ん, で, い, ます, 。",～えい,~ run
ぞんざい,彼は客をぞんざいに扱った。,N1,6745,2970,2,"ぞんざい, 扱っ","彼, は, 客, を, ぞんざい, に, 扱っ, た, 。",ぞんざい,"rude, careless, slovenly"
ポイント,この店のポイントカードは、かなりお得だよ。,N1,7315,2971,2,"ポイント, 得","この, 店, の, ポイント, カード, は, 、, かなり, お, 得, だ, よ, 。",ポイント,point
繁盛,この店はいつも繁盛している。,N1,7768,2972,2,"繁盛, いる","この, 店, は, いつ, も, 繁盛, し, て, いる, 。",はんじょう,"prosperity, flourishing, thriving"
外国人,そのレストランは、外国人観光客にも人気がある。,N5,144,2973,3,"観光, 人気, ある","その, レストラン, は, 、, 外国, 人, 観光, 客, に, も, 人気, が, ある, 。",がいこくじん,foreigner
村,その村は自然に囲まれていて、とても静かだった。,N5,646,2974,3,"村, 囲ま, だっ","その, 村, は, 自然, に, 囲ま, れ, て, い, て, 、, とても, 静か, だっ, た, 。",むら,village
盗む,彼は店からお菓子を盗んだ。,N4,713,2975,3,"から, 菓子, 盗ん","彼, は, 店, から, お, 菓子, を, 盗ん, だ, 。",ぬすむ,to steal; to rob
驚く,そのニュースを聞いて、とても驚きました。,N4,940,2976,3,"聞い, 驚き, まし","その, ニュース, を, 聞い, て, 、, とても, 驚き, まし, た, 。",おどろく,"to be surprised, to be astonished"
自身,彼はそのプロジェクトを**自身**でやり遂げた。,N3,1413,2977,3,"プロジェクト, 自身, やり遂げ","彼, は, その, プロジェクト, を, *, *, 自身, *, *, で, やり遂げ, た, 。",じしん,oneself
出版,その本は来月出版される予定です。,N3,1487,2978,3,"出版, れる, です","その, 本, は, 来月, 出版, さ, れる, 予定, です, 。",しゅっぱん,publication
種類,この店には、たくさんの種類のパンがある。,N3,1492,2979,3,"たくさん, 種類, ある","この, 店, に, は, 、, たくさん, の, 種類, の, パン, が, ある, 。",しゅるい,"variety, kind"
淡水,この川は**淡水**魚の種類が豊富だ。,N2,5046,2980,2,"川, 淡水","この, 川, は, *, *, 淡水, *, *, 魚, の, 種類, が, 豊富, だ, 。",たんすい,fresh water
すてき,そのドレス、とてもすてきですね。,N3,1608,2981,3,"ドレス, すてき, です","その, ドレス, 、, とても, すてき, です, ね, 。",すてき,"lovely, great"
現す,その絵は、彼女の心の奥底を現している。,N3,1712,2982,3,"奥底, 現し, いる","その, 絵, は, 、, 彼女, の, 心, の, 奥底, を, 現し, て, いる, 。",あらわす,"to show, to appear, to reveal"
害,たばこの煙は健康に害を及ぼす。,N3,1912,2983,3,"煙, 健康, 害","たばこ, の, 煙, は, 健康, に, 害, を, 及ぼす, 。",がい,"harm, damage"
欠ける,そのコップは縁が少し欠けている。,N3,1957,2984,3,"縁, 欠け, いる","その, コップ, は, 縁, が, 少し, 欠け, て, いる, 。",かける,to be lacking
河,その村は**河**沿いに位置している。,N3,2011,2985,3,"河, 沿い, いる","その, 村, は, *, *, 河, *, *, 沿い, に, 位置, し, て, いる, 。",かわ,"river, stream"
結局,色々悩んだけど、結局いつもの店にした。,N3,2198,2986,3,"悩ん, けど, 結局","色々, 悩ん, だ, けど, 、, 結局, いつ, も, の, 店, に, し, た, 。",けっきょく,"after all, eventually"
高価,その絵は高価すぎて、とても買えない。,N3,2234,2987,3,"高価, すぎ, 買え","その, 絵, は, 高価, すぎ, て, 、, とても, 買え, ない, 。",こうか,high price
超える,そのハードルを**超える**のは難しいだろう。,N3,2258,2988,3,"ハードル, 超える, だろう","その, ハードル, を, *, *, 超える, *, *, の, は, 難しい, だろう, 。",こえる,"to exceed, to cross over, to cross"
利益,その投資は大きな利益をもたらした。,N3,2504,2989,3,"投資, 利益, もたらし","その, 投資, は, 大きな, 利益, を, もたらし, た, 。",りえき,"profits, gains"
分配,利益を社員に分配する。,N1,7280,2990,2,"社員, 分配","利益, を, 社員, に, 分配, する, 。",ぶんぱい,"division, sharing"
地下,この店は地下にあります。,N3,2795,2991,3,"地下, あり, ます","この, 店, は, 地下, に, あり, ます, 。",ちか,"basement, underground"
中央,その公園の中央に大きな噴水がある。,N3,2812,2992,3,"中央, 噴水, ある","その, 公園, の, 中央, に, 大きな, 噴水, が, ある, 。",ちゅうおう,"central, center, middle"
年中,この店は年中無休です。,N3,3035,2993,3,"年中, 無休, です","この, 店, は, 年中, 無休, です, 。",ねんじゅう,"whole year, always, everyday"
野,その猫は**野**良猫だった。,N3,3038,2994,3,"野, 良, だっ","その, 猫, は, *, *, 野, *, *, 良, 猫, だっ, た, 。",の,field
莫大,そのプロジェクトには莫大な費用がかかる。,N3,3084,2995,3,"プロジェクト, 莫大, 費用","その, プロジェクト, に, は, 莫大, な, 費用, が, かかる, 。",ばくだい,"enormous, vast"
人造,その池には、人造の滝がある。,N2,3542,2996,3,"人造, 滝, ある","その, 池, に, は, 、, 人造, の, 滝, が, ある, 。",じんぞう,"man-made, synthetic, artificial"
接する,その公園は川に接しています。,N2,3625,2997,3,"川, 接し, ます","その, 公園, は, 川, に, 接し, て, い, ます, 。",せっする,to attend to (someone); to associate with
漁業,この村は**漁業**で生計を立てている人が多い。,N2,3972,2998,3,"漁業, 立て, いる","この, 村, は, *, *, 漁業, *, *, で, 生計, を, 立て, て, いる, 人, が, 多い, 。",ぎょぎょう,fishing (industry)
～圏,この店は、近隣住民を商圏としている。,N2,4048,2999,3,"近隣, 商圏, いる","この, 店, は, 、, 近隣, 住民, を, 商圏, と, し, て, いる, 。",～けん,"bloc, sphere, area"
シャッター,お店のシャッターが閉まっている。,N2,4283,3000,3,"シャッター, 閉まっ, いる","お, 店, の, シャッター, が, 閉まっ, て, いる, 。",シャッター,shutter
南北,その道路は南北に走っている。,N2,4571,3001,3,"南北, 走っ, いる","その, 道路, は, 南北, に, 走っ, て, いる, 。",なんぼく,south and north
半島,その半島は、豊かな自然に恵まれている。,N2,4672,3002,3,"半島, 恵まれ, いる","その, 半島, は, 、, 豊か, な, 自然, に, 恵まれ, て, いる, 。",はんとう,peninsula
～遍,その映画はもう３遍も見たよ。,N2,4813,3003,3,"３, 遍, 見","その, 映画, は, もう, ３, 遍, も, 見, た, よ, 。",～へん,time
権力,彼はその地位を利用して権力を行使している。,N1,5195,3004,3,"権力, 行使, いる","彼, は, その, 地位, を, 利用, し, て, 権力, を, 行使, し, て, いる, 。",けんりょく,"(political) power, authority, influence"
雑貨,この店は可愛い雑貨がたくさんある。,N1,5374,3005,3,"雑貨, たくさん, ある","この, 店, は, 可愛い, 雑貨, が, たくさん, ある, 。",ざっか,"miscellaneous goods, general goods"
特許,その技術は**特許**を取得している。,N1,5519,3006,3,"特許, 取得, いる","その, 技術, は, *, *, 特許, *, *, を, 取得, し, て, いる, 。",とっきょ,"special permission, patent"
有する,この会社は、複数の特許を**有して**います。,N1,7619,3007,2,"有し, ます","この, 会社, は, 、, 複数, の, 特許, を, *, *, 有し, て, *, *, い, ます, 。",ゆうする,"to own, to be endowed with"
名高い,そのレストランは、新鮮な魚介を使った料理が名高い。,N1,5598,3008,3,"魚介, 使っ, 名高い","その, レストラン, は, 、, 新鮮, な, 魚介, を, 使っ, た, 料理, が, 名高い, 。",なだかい,"famous, celebrated, well-known"
廃棄,その書類はもう不要なので、廃棄してください。,N1,5701,3009,3,"不要, 廃棄, ください","その, 書類, は, もう, 不要, な, の, で, 、, 廃棄, し, て, ください, 。",はいき,"disposal, abandon, discarding"
一心,彼はその絵を描くことに一心だった。,N1,5738,3010,3,"こと, 一心, だっ","彼, は, その, 絵, を, 描く, こと, に, 一心, だっ, た, 。",いっしん,"one mind, with rapt attention"
沿岸,この地域は沿岸地域なので、海産物が豊富です。,N1,5826,3011,3,"沿岸, 海産, です","この, 地域, は, 沿岸, 地域, な, の, で, 、, 海産, 物, が, 豊富, です, 。",えんがん,"coast, shore"
セール,この店、明日からセールだって。,N1,6645,3012,3,"から, セール, って","この, 店, 、, 明日, から, セール, だ, って, 。",セール,sale
手掛ける,彼はそのプロジェクトを手掛けています。,N1,6980,3013,3,"プロジェクト, 手掛け, ます","彼, は, その, プロジェクト, を, 手掛け, て, い, ます, 。",てがける,"to handle, to manage, to work with"
不当,その解雇は不当だと訴えられた。,N1,7242,3014,3,"解雇, 不当, られ","その, 解雇, は, 不当, だ, と, 訴え, られ, た, 。",ふとう,"injustice, impropriety, unfair"
フロント,この店はいつもフロントが混んでいる。,N1,7266,3015,3,"フロント, 混ん, いる","この, 店, は, いつ, も, フロント, が, 混ん, で, いる, 。",フロント,front
持ち切り,そのニュースは、一日中SNSで持ち切りだった。,N1,7571,3016,3,"SNS, 持ち切り, だっ","その, ニュース, は, 、, 一, 日, 中, SNS, で, 持ち切り, だっ, た, 。",もちきり,"hot topic, talk of the town"
千,その映画は千円で見られます。,N5,350,3017,4,"千, 見, られ, ます","その, 映画, は, 千, 円, で, 見, られ, ます, 。",せん,thousand
大切,家族は私にとって、とても大切な存在です。,N5,374,3018,4,"私, とっ, 大切, です","家族, は, 私, に, とっ, て, 、, とても, 大切, な, 存在, です, 。",たいせつ,important
愛,家族への愛は、何よりも大切だ。,N3,1665,3019,2,"愛, より","家族, へ, の, 愛, は, 、, 何, より, も, 大切, だ, 。",あい,love
物語,この映画は、感動的な愛の物語だ。,N3,2430,3020,2,"的, 物語","この, 映画, は, 、, 感動, 的, な, 愛, の, 物語, だ, 。",ものがたり,"tale, story, legend"
創作,彼女は物語の創作に熱心だ。,N2,3663,3021,1,創作,"彼女, は, 物語, の, 創作, に, 熱心, だ, 。",そうさく,"production, creation, work"
コレクション,彼は切手のコレクションを大切にしている。,N2,4143,3022,2,"コレクション, いる","彼, は, 切手, の, コレクション, を, 大切, に, し, て, いる, 。",コレクション,collection; correction
主題,この映画の**主題**は家族愛です。,N1,7174,3023,2,"主題, です","この, 映画, の, *, *, 主題, *, *, は, 家族, 愛, です, 。",しゅだい,"subject, theme, motif"
道具,料理には適切な道具を使うことが大切だ。,N4,1143,3024,3,"適切, 道具, こと","料理, に, は, 適切, な, 道具, を, 使う, こと, が, 大切, だ, 。",どうぐ,tool
刀,その刀は、美術品として大切に保管されている。,N3,1979,3025,3,"刀, 保管, いる","その, 刀, は, 、, 美術, 品, と, し, て, 大切, に, 保管, さ, れ, て, いる, 。",かたな,"sword, saber"
予防,インフルエンザの予防には、手洗いが大切です。,N3,2492,3026,3,"インフルエンザ, 予防, です","インフルエンザ, の, 予防, に, は, 、, 手洗い, が, 大切, です, 。",よぼう,"prevention, protection against"
助ける,困っている人を助けるのは大切だ。,N3,2740,3027,3,"困っ, いる, 助ける","困っ, て, いる, 人, を, 助ける, の, は, 大切, だ, 。",たすける,"to help (v.t.), to save, to rescue"
書留,大切な書類なので、書留で送りました。,N2,3833,3028,3,"書留, 送り, まし","大切, な, 書類, な, の, で, 、, 書留, で, 送り, まし, た, 。",かきとめ,registered mail
ロッカー,部活の道具をロッカーにしまった。,N2,4329,3029,3,"部活, ロッカー, しまっ","部活, の, 道具, を, ロッカー, に, しまっ, た, 。",ロッカー,locker
沢山,今日はお土産を沢山買いました。,N5,379,3030,4,"土産, 沢山, 買い, まし","今日, は, お, 土産, を, 沢山, 買い, まし, た, 。",たくさん,"many, much"
小さい,この箱は**小さい**ので、持ち運びやすいです。,N5,397,3031,4,"小さい, 持ち運び, やすい, です","この, 箱, は, *, *, 小さい, *, *, の, で, 、, 持ち運び, やすい, です, 。",ちいさい,"small, little"
小,小さい子供が公園で遊んでいます。,N3,1498,3032,2,"遊ん, ます","小さい, 子供, が, 公園, で, 遊ん, で, い, ます, 。",しょう,small
入れ物,このお弁当箱は、可愛い入れ物だけど、ちょっと小さいかな。,N2,4423,3033,2,"入れ物, けど","この, お, 弁当, 箱, は, 、, 可愛い, 入れ物, だ, けど, 、, ちょっと, 小さい, か, な, 。",いれもの,"container, case"
地下鉄,東京の地下鉄は複雑だけど便利だ。,N5,402,3034,4,"東京, 鉄, けど, 便利","東京, の, 地下, 鉄, は, 複雑, だ, けど, 便利, だ, 。",ちかてつ,"underground train, subway"
地図,旅行前に、目的地の**地図**を調べておこう。,N5,403,3035,4,"目的, 地図, 調べ, おこう","旅行, 前, に, 、, 目的, 地, の, *, *, 地図, *, *, を, 調べ, て, おこう, 。",ちず,a map
指す,彼は地図を指して、目的地を教えてくれた。,N3,2337,3036,3,"指し, 目的, くれ","彼, は, 地図, を, 指し, て, 、, 目的, 地, を, 教え, て, くれ, た, 。",さす,"to point,"
